image_path,datetime,species_label,probability,station_id
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_89.JPEG,2025-11-05 07:47:57,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_93.JPEG,2025-11-05 13:37:03,wild boar,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_91.JPEG,2025-11-05 13:37:03,wild boar,0.96,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_92.JPEG,2025-11-05 13:37:03,wild boar,1.0,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_94.JPEG,2025-11-05 13:37:05,wild boar,1.0,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_95.JPEG,2025-11-05 13:37:05,wild boar,1.0,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_96.JPEG,2025-11-05 13:37:05,wild boar,1.0,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251107_107.JPEG,2025-11-07 23:38:24,wild boar,1.0,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1711.JPEG,2025-11-01 14:34:32,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1712.JPEG,2025-11-01 14:34:32,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1713.JPEG,2025-11-01 14:34:35,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1714.JPEG,2025-11-01 14:34:35,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1715.JPEG,2025-11-01 14:34:38,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1716.JPEG,2025-11-01 14:34:38,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1717.JPEG,2025-11-01 14:34:42,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1718.JPEG,2025-11-01 14:34:42,wild boar,0.99,r0039-dona_0033
